timestamp,method,url,host,src_ip,dst_ip
2025-11-11T18:52:46.127086,GET,http://192.168.56.30/,192.168.56.30,192.168.56.20,192.168.56.30
2025-11-11T18:52:46.127779,GET,http://192.168.56.30/,192.168.56.30,192.168.56.20,192.168.56.30
